Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-655,1 de Jan,20:59,9 de Jan,17:55,17 de Jan,11:38,24 de Jan,07:16,29d 15h 35m
-654,31 de Jan,12:34,8 de Fev,15:12,16 de Fev,00:21,22 de Fev,15:39,29d 16h 59m
-653,2 de Mar,05:33,10 de Mar,10:05,17 de Mar,10:45,24 de Mar,01:31,29d 17h 18m
-652,31 de Mar,22:51,9 de Abr,01:19,15 de Abr,19:19,22 de Abr,13:18,29d 16h 39m
-651,30 de Abr,15:31,8 de Mai,12:31,15 de Mai,02:57,22 de Mai,03:02,29d 15h 20m
-650,30 de Mai,06:50,6 de Jun,20:09,13 de Jun,10:40,20 de Jun,18:27,29d 13h 36m
-649,28 de Jun,20:26,6 de Jul,01:23,12 de Jul,19:29,20 de Jul,11:10,29d 11h 45m
-648,28 de Jul,08:11,4 de Ago,05:45,11 de Ago,06:06,19 de Ago,04:44,29d 10h 08m
-647,26 de Ago,18:19,2 de Set,10:51,9 de Set,19:05,17 de Set,22:23,29d 9h 08m
-646,25 de Set,03:27,1 de Out,18:12,9 de Out,10:36,17 de Out,15:07,29d 9h 02m
-645,24 de Out,12:29,31 de Out,04:55,8 de Nov,04:25,16 de Nov,05:52,29d 9h 45m
-644,22 de Nov,22:14,29 de Nov,19:26,7 de Dez,23:32,15 de Dez,18:04,29d 10h 58m
-643,22 de Dez,09:12,29 de Dez,13:31,,,,,29d 12h 13m
* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
