Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
1101,,,1 de Jan,04:14,9 de Jan,05:30,16 de Jan,07:07,29d 13h 33m
1102,23 de Jan,05:39,31 de Jan,02:09,7 de Fev,19:53,14 de Fev,15:03,29d 14h 55m
1103,21 de Fev,20:34,29 de Fev,22:21,8 de Mar,06:39,14 de Mar,22:25,29d 16h 03m
1104,22 de Mar,11:37,30 de Mar,16:40,6 de Abr,16:18,13 de Abr,07:49,29d 16h 41m
1105,21 de Abr,04:18,29 de Abr,06:57,6 de Mai,00:35,12 de Mai,18:46,29d 16h 29m
1106,20 de Mai,20:47,28 de Mai,17:16,4 de Jun,08:11,11 de Jun,07:41,29d 15h 15m
1107,19 de Jun,12:02,27 de Jun,00:30,3 de Jul,15:51,10 de Jul,22:47,29d 13h 22m
1108,19 de Jul,01:23,26 de Jul,05:56,2 de Ago,00:27,9 de Ago,15:55,29d 11h 30m
1109,17 de Ago,12:54,24 de Ago,10:53,31 de Ago,10:58,8 de Set,10:15,29d 10h 16m
1110,15 de Set,23:10,22 de Set,16:40,30 de Set,00:18,8 de Out,04:33,29d 9h 52m
1111,15 de Out,09:02,22 de Out,01:31,29 de Out,17:49,6 de Nov,22:35,29d 10h 05m
1112,13 de Nov,20:08,20 de Nov,12:31,28 de Nov,12:45,6 de Dez,13:31,29d 10h 34m
1113,13 de Dez,06:41,20 de Dez,03:19,28 de Dez,08:21,,,29d 11h 02m
* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
