New Moon,First Quarter,Full Moon,Third Quarter
None,1800-01-02T00:00:00,1800-01-10T00:00:00,1800-01-18T00:00:00
1800-01-25T00:00:00,1800-02-01T00:00:00,1800-02-09T00:00:00,1800-02-16T00:00:00
1800-02-23T00:00:00,1800-03-03T00:00:00,1800-03-11T00:00:00,1800-03-17T00:00:00
1800-03-25T00:00:00,1800-04-02T00:00:00,1800-04-09T00:00:00,1800-04-16T00:00:00
1800-04-23T00:00:00,1800-05-02T00:00:00,1800-05-08T00:00:00,1800-05-15T00:00:00
1800-05-23T00:00:00,1800-05-31T00:00:00,1800-06-07T00:00:00,1800-06-14T00:00:00
1800-06-22T00:00:00,1800-06-29T00:00:00,1800-07-06T00:00:00,1800-07-13T00:00:00
1800-07-21T00:00:00,1800-07-29T00:00:00,1800-08-04T00:00:00,1800-08-12T00:00:00
1800-08-20T00:00:00,1800-08-27T00:00:00,1800-09-03T00:00:00,1800-09-11T00:00:00
1800-09-18T00:00:00,1800-09-25T00:00:00,1800-10-02T00:00:00,1800-10-10T00:00:00
1800-10-18T00:00:00,1800-10-24T00:00:00,1800-11-01T00:00:00,1800-11-09T00:00:00
1800-11-16T00:00:00,1800-11-23T00:00:00,1800-12-01T00:00:00,1800-12-09T00:00:00
1800-12-16T00:00:00,1800-12-22T00:00:00,1800-12-31T00:00:00,None
None,None,None,1801-01-07T00:00:00
1801-01-14T00:00:00,1801-01-21T00:00:00,1801-01-29T00:00:00,1801-02-06T00:00:00
1801-02-13T00:00:00,1801-02-20T00:00:00,1801-02-28T00:00:00,1801-03-07T00:00:00
1801-03-14T00:00:00,1801-03-22T00:00:00,1801-03-30T00:00:00,1801-04-05T00:00:00
1801-04-13T00:00:00,1801-04-21T00:00:00,1801-04-28T00:00:00,1801-05-05T00:00:00
1801-05-12T00:00:00,1801-05-20T00:00:00,1801-05-27T00:00:00,1801-06-03T00:00:00
1801-06-11T00:00:00,1801-06-19T00:00:00,1801-06-26T00:00:00,1801-07-02T00:00:00
1801-07-10T00:00:00,1801-07-18T00:00:00,1801-07-25T00:00:00,1801-08-01T00:00:00
1801-08-09T00:00:00,1801-08-17T00:00:00,1801-08-23T00:00:00,1801-08-30T00:00:00
1801-09-08T00:00:00,1801-09-15T00:00:00,1801-09-22T00:00:00,1801-09-29T00:00:00
